session_id,user_id,timestamp,session_start,session_end,total_duration_seconds,total_reps,completed_reps,failed_reps,average_form_score,best_form_score,worst_form_score,total_faults,safety_faults,form_faults,depth_faults,user_skill_level,difficulty_level,difficulty_changes_count,exercise_type,voice_feedback_enabled,session_quality_score,improvement_score,fatigue_detected,session_notes,system_version
session_20250909_154629_mayoa,mayoa,1757429189.5790224,2025-09-09T15:46:29.579022,2025-09-09T15:48:15.953683,106.3746612071991,11,11,0,81.0909090909091,94,0,12,,,,INTERMEDIATE,,,squat,True,100.0,7.272727272727273,False,,2.0
session_20250909_155459_mayob,mayob,1757429699.356401,2025-09-09T15:54:59.356400,2025-09-09T15:56:08.074410,68.71800899505615,10,10,0,91.3,93,90,11,,,,INTERMEDIATE,,,squat,True,100.0,-0.18181818181818182,False,,2.0
session_20250909_160829_ibrab,ibrab,1757430509.3267095,2025-09-09T16:08:29.326709,2025-09-09T16:10:17.453289,108.12657976150513,14,14,0,59.42857142857143,91,0,20,,,,INTERMEDIATE,,,squat,True,100.0,-42.417582417582416,True,,2.0
session_20250909_161157_ibrab,ibrab,1757430717.964408,2025-09-09T16:11:57.964407,2025-09-09T16:12:16.439551,18.475143671035767,0,0,0,0,0,0,0,,,,INTERMEDIATE,,,squat,True,0.0,0.0,False,,2.0
session_20250909_161255_ibraa,ibraa,1757430775.9977162,2025-09-09T16:12:55.997716,2025-09-09T16:14:31.882322,95.88460659980774,13,13,0,64.0,89,0,22,,,,INTERMEDIATE,,,squat,True,100.0,-65.98901098901098,True,,2.0
session_20250909_161620_mitcha,mitcha,1757430980.0147383,2025-09-09T16:16:20.014738,2025-09-09T16:17:48.760746,88.74600768089294,12,12,0,72.25,92,0,16,,,,INTERMEDIATE,,,squat,True,100.0,71.71328671328672,False,,2.0
session_20250909_161937_mitchb,mitchb,1757431177.7794025,2025-09-09T16:19:37.779402,2025-09-09T16:20:50.055403,72.27600121498108,10,10,0,92.0,94,89,12,,,,INTERMEDIATE,,,squat,True,100.0,3.7575757575757573,False,,2.0
session_20250909_162611_dimb,dimb,1757431571.8328393,2025-09-09T16:26:11.832839,2025-09-09T16:28:29.304905,137.4720664024353,16,16,0,49.5,94,0,27,,,,INTERMEDIATE,,,squat,True,100.0,40.3235294117647,False,,2.0
session_20250909_163033_dima,dima,1757431833.0036545,2025-09-09T16:30:33.003654,2025-09-09T16:31:24.317201,51.313546657562256,11,11,0,90.63636363636364,93,87,18,,,,INTERMEDIATE,,,squat,True,100.0,-2.545454545454545,False,,2.0
session_20250909_163251_afeeza,afeeza,1757431971.0867126,2025-09-09T16:32:51.086712,2025-09-09T16:34:26.609019,95.52230739593506,10,10,0,87.1,93,83,18,,,,INTERMEDIATE,,,squat,True,100.0,-4.909090909090909,False,,2.0
session_20250909_163559_afeezb,afeezb,1757432159.5450532,2025-09-09T16:35:59.545053,2025-09-09T16:37:14.350599,74.8055465221405,13,13,0,64.76923076923077,91,0,22,,,,INTERMEDIATE,,,squat,True,100.0,-0.4395604395604396,False,,2.0
session_20250909_164221_kene_b,kene_b,1757432541.308974,2025-09-09T16:42:21.308974,2025-09-09T16:43:55.296120,93.98714685440063,15,15,0,54.6,88,0,31,,,,INTERMEDIATE,,,squat,True,100.0,55.10714285714286,False,,2.0
session_20250909_164846_kenea,kenea,1757432926.986632,2025-09-09T16:48:46.986632,2025-09-09T16:49:49.184360,62.19772815704346,11,11,0,75.45454545454545,88,0,23,,,,INTERMEDIATE,,,squat,True,100.0,-13.636363636363635,False,,2.0
session_20250909_170721_folaa,folaa,1757434041.5239286,2025-09-09T17:07:21.523928,2025-09-09T17:08:21.449875,59.925946950912476,10,10,0,91.5,94,87,13,,,,INTERMEDIATE,,,squat,True,100.0,3.8181818181818183,False,,2.0
session_20250909_170916_folab,folab,1757434156.5981994,2025-09-09T17:09:16.598199,2025-09-09T17:10:21.994521,65.39632248878479,12,12,0,75.33333333333333,93,0,18,,,,INTERMEDIATE,,,squat,True,100.0,-58.53146853146853,True,,2.0
session_20250909_181159_samb,samb,1757437919.8975198,2025-09-09T18:11:59.897519,2025-09-09T18:12:32.588062,32.69054317474365,0,0,0,0,0,0,0,,,,INTERMEDIATE,,,squat,True,0.0,0.0,False,,2.0
session_20250909_181644_samb,samb,1757438204.844768,2025-09-09T18:16:44.844768,2025-09-09T18:16:50.421690,5.57692289352417,0,0,0,0,0,0,0,,,,INTERMEDIATE,,,squat,True,0.0,0.0,False,,2.0
session_20250909_182223_sama,sama,1757438543.305795,2025-09-09T18:22:23.305795,2025-09-09T18:24:59.814898,156.50910329818726,14,14,0,57.5,86,0,23,,,,INTERMEDIATE,,,squat,True,100.0,14.21978021978022,False,,2.0
session_20250909_183524_samb,samb,1757439324.2058973,2025-09-09T18:35:24.205897,2025-09-09T18:36:15.008368,50.80247116088867,11,11,0,81.81818181818181,85,80,27,,,,INTERMEDIATE,,,squat,True,100.0,3.4545454545454546,False,,2.0
session_20250909_190435_somfeb,somfeb,1757441075.5740545,2025-09-09T19:04:35.574054,2025-09-09T19:05:39.201366,63.62731194496155,11,11,0,83.63636363636364,90,80,22,,,,INTERMEDIATE,,,squat,True,100.0,-2.545454545454545,False,,2.0
session_20250909_190648_somfea,somfea,1757441208.4588628,2025-09-09T19:06:48.458862,2025-09-09T19:07:38.187428,49.72856593132019,10,10,0,84.6,88,83,20,,,,INTERMEDIATE,,,squat,True,100.0,-2.6666666666666665,False,,2.0
session_20250909_190824_somfea,somfea,1757441304.2560635,2025-09-09T19:08:24.256063,2025-09-09T19:08:47.798520,23.54245686531067,0,0,0,0,0,0,0,,,,INTERMEDIATE,,,squat,True,0.0,0.0,False,,2.0
session_20250909_190933_somfea,somfea,1757441373.854803,2025-09-09T19:09:33.854803,2025-09-09T19:11:21.947068,108.09226536750793,6,6,0,68.33333333333333,83,0,11,,,,INTERMEDIATE,,,squat,True,100.0,-100,True,,2.0
session_20250909_191459_marya,marya,1757441699.8612416,2025-09-09T19:14:59.861241,2025-09-09T19:15:54.038269,54.17702770233154,10,10,0,90.1,91,87,20,,,,INTERMEDIATE,,,squat,True,100.0,2.484848484848485,False,,2.0
session_20250909_191842_maryb,maryb,1757441922.1076145,2025-09-09T19:18:42.107614,2025-09-09T19:20:00.625547,78.5179328918457,10,10,0,92.1,94,90,13,,,,INTERMEDIATE,,,squat,True,100.0,2.484848484848485,False,,2.0
session_20250909_194157_mayob,mayob,1757443317.3348253,2025-09-09T19:41:57.334825,2025-09-09T19:42:45.834445,48.49961972236633,1,1,0,80.0,80,80,4,,,,INTERMEDIATE,casual,1,squat,True,100.0,0.0,False,,2.0
session_20250909_194345_mayob,mayob,1757443425.0445406,2025-09-09T19:43:45.044540,2025-09-09T19:45:51.763829,126.71928882598877,10,10,0,95.1,99,78,26,,,,INTERMEDIATE,,,squat,True,100.0,9.393939393939394,False,,2.0
session_20250909_194806_maryb,maryb,1757443686.2108872,2025-09-09T19:48:06.210887,2025-09-09T19:49:40.232499,94.02161192893982,10,10,0,94.1,95,91,10,,,,INTERMEDIATE,,,squat,True,100.0,2.6060606060606064,False,,2.0
session_20250909_195203_samb,samb,1757443923.167421,2025-09-09T19:52:03.167421,2025-09-09T19:53:31.684853,88.51743221282959,10,10,0,88.2,90,87,14,,,,INTERMEDIATE,,,squat,True,100.0,1.5757575757575757,False,,2.0
