session_id,rep_id,frame_number,timestamp,phase,knee_angle_left,knee_angle_right,hip_angle,back_angle,ankle_angle_left,ankle_angle_right,center_of_mass_x,center_of_mass_y,movement_velocity,acceleration,jerk,knee_symmetry_ratio,ankle_symmetry_ratio,weight_distribution_ratio,postural_sway,base_of_support_width,landmark_visibility,frame_quality_score,head_position_x,head_position_y,shoulder_alignment,heel_lift_left,heel_lift_right,foot_stability_score
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,1,1756485894.8087406,DESCENDING,139.5,141.4,160.0,175.0,90.0,91.0,320.0,240.0,20.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,2,1756485894.8087406,DESCENDING,132.0,134.0,154.0,175.0,90.0,91.0,320.0,240.0,22.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,3,1756485894.8087406,DESCENDING,124.5,126.6,148.0,175.0,90.0,91.0,320.0,240.0,24.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,4,1756485894.8087406,DESCENDING,115.5,117.4,142.0,175.0,90.0,91.0,320.0,240.0,26.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,5,1756485894.8087406,DESCENDING,108.0,110.0,136.0,175.0,90.0,91.0,320.0,240.0,28.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,6,1756485894.8087406,DESCENDING,100.5,102.6,130.0,175.0,90.0,91.0,320.0,240.0,30.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,7,1756485894.8087406,DESCENDING,91.5,93.4,124.0,175.0,90.0,91.0,320.0,240.0,32.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,8,1756485894.8087406,DESCENDING,84.0,86.0,118.0,175.0,90.0,91.0,320.0,240.0,34.0,3.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,9,1756485894.8087406,BOTTOM,74.5,76.4,110.0,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,10,1756485894.8087406,BOTTOM,76.0,78.0,110.5,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,11,1756485894.8087406,BOTTOM,77.5,79.6,111.0,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,12,1756485894.8087406,BOTTOM,77.5,79.4,111.5,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,13,1756485894.8087406,BOTTOM,79.0,81.0,112.0,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,14,1756485894.8087406,BOTTOM,80.5,82.6,112.5,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,15,1756485894.8087406,BOTTOM,80.5,82.4,113.0,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,16,1756485894.8087406,BOTTOM,82.0,84.0,113.5,175.0,90.0,91.0,320.0,240.0,5.0,0.0,0.5,1.0,1.0,1.0,0.08,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,17,1756485894.8087406,ASCENDING,79.5,81.4,115.0,175.0,90.0,91.0,320.0,240.0,18.0,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,18,1756485894.8087406,ASCENDING,88.0,90.0,121.0,175.0,90.0,91.0,320.0,240.0,19.5,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,19,1756485894.8087406,ASCENDING,96.5,98.6,127.0,175.0,90.0,91.0,320.0,240.0,21.0,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,20,1756485894.8087406,ASCENDING,103.5,105.4,133.0,175.0,90.0,91.0,320.0,240.0,22.5,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,21,1756485894.8087406,ASCENDING,112.0,114.0,139.0,175.0,90.0,91.0,320.0,240.0,24.0,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,22,1756485894.8087406,ASCENDING,120.5,122.6,145.0,175.0,90.0,91.0,320.0,240.0,25.5,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,23,1756485894.8087406,ASCENDING,127.5,129.4,151.0,175.0,90.0,91.0,320.0,240.0,27.0,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
session_20250829_174454_demo_user_001,session_20250829_174454_demo_user_001_rep_001,24,1756485894.8087406,ASCENDING,136.0,138.0,157.0,175.0,90.0,91.0,320.0,240.0,28.5,-2.0,0.5,1.0,1.0,1.0,0.05,45.0,0.95,0.98,0,0,,0.0,0.0,0
