session_id,rep_id,rep_number,rep_start_time,rep_end_time,rep_duration_seconds,total_frames,valid_frames,frame_quality,final_form_score,safety_score,depth_score,stability_score,tempo_score,symmetry_score,technique_score,faults_detected,fault_categories,fault_severities,movement_phase_durations,peak_depth_angle,min_knee_angle,max_knee_angle,depth_percentage,movement_smoothness,bilateral_asymmetry,center_of_mass_deviation,postural_stability,voice_feedback_given,voice_messages_count,feedback_messages_generated,feedback_categories,enhanced_feedback_status,feedback_content,enhanced_feedback_content,user_response_time,correction_made
session_20250901_000632_user,session_20250901_000632_user_rep_001,1,1756681596.9163868,1756681605.7411764,8.82478952407837,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57834426050458,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_002148_user,session_20250901_002148_user_rep_001,1,1756682512.8921027,1756682521.6537771,8.761674404144287,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.56422274645307,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_003514_user,session_20250901_003514_user_rep_001,1,1756683318.7660758,1756683327.7482932,8.98221731185913,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.5740106143823,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '⬇️ Ideal depth consistency - textbook execution!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_003535_user,session_20250901_003535_user_rep_001,1,1756683339.6889575,1756683350.2936718,10.604714393615723,285,285,1.0,91,75,100,100,100,0,0,1,,,,69.87376444213564,69.87376444213564,178.18034617962297,100.0,99.59967018178678,4.487474118056107,6.6505461267894255,100.0,False,0,0,,success,"['⭐ Masterful movement - keep this up!', '⬇️ Ideal depth consistency - textbook execution!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_003800_user,session_20250901_003800_user_rep_001,1,1756683484.5424287,1756683493.4679558,8.925527095794678,272,272,1.0,93,75,100,100,100,0,95.0,2,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.56875899559812,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_003823_user,session_20250901_003823_user_rep_001,1,1756683507.6875286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_20250901_003837_user,session_20250901_003837_user_rep_001,1,1756683521.5610206,1756683530.584947,9.023926496505737,272,272,1.0,92,75,100,100,100,0,95.0,2,,,,51.71390246774547,51.71390246774547,179.91044543337034,100.0,99.55940226875441,13.233308085996365,4.359902812170601,100.0,False,0,0,,success,"['⭐ Masterful movement - keep this up!', '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_004858_user,session_20250901_004858_user_rep_001,1,1756684142.875828,1756684152.2011068,9.325278759002686,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58956344119068,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🏆 Outstanding overall performance!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_004926_user,session_20250901_004926_user_rep_001,1,1756684170.6381655,1756684179.5215135,8.883347988128662,272,272,1.0,93,75,100,100,100,0,95.0,2,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57315840843508,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"[""🌟 Exceptional form - you're crushing it!"", '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005344_user,session_20250901_005344_user_rep_001,1,1756684428.9140604,1756684438.0820675,9.168007135391235,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.5869650372415,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '⬇️ Ideal depth consistency - textbook execution!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005411_user,session_20250901_005411_user_rep_001,1,1756684455.0648406,1756684464.2350762,9.170235633850098,272,272,1.0,93,75,100,100,100,0,95.0,2,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58119600725004,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🔥 Stellar performance - form coach approved!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005649_user,session_20250901_005649_user_rep_001,1,1756684613.3224618,1756684622.3480983,9.025636434555054,272,272,1.0,87,75,100,100,0,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.58402596868393,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🎖️ Great execution with room for small improvements.', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005713_user,session_20250901_005713_user_rep_001,1,1756684637.4513905,1756684646.573222,9.12183141708374,272,272,1.0,93,75,100,100,100,0,95.0,2,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57759635797501,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['🏆 Outstanding overall performance!', '💪 Excellent depth - full range of motion achieved!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005913_user,session_20250901_005913_user_rep_001,1,1756684757.3958704,1756684766.3744066,8.978536128997803,272,272,1.0,90,75,100,100,100,0,0,1,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57605346473477,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"['💎 Near-perfect execution - amazing work!', '🎯 Perfect depth control - hitting the target zone!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
session_20250901_005943_user,session_20250901_005943_user_rep_001,1,1756684787.5126965,1756684796.4080408,8.895344257354736,272,272,1.0,93,75,100,100,100,0,95.0,2,,,,52.23694158009415,52.23694158009415,179.96214585354207,100.0,99.57025261522085,13.201801537724588,4.360318328269098,100.0,False,0,0,,success,"[""🌟 Exceptional form - you're crushing it!"", '📏 Outstanding range of motion - maximum muscle activation!']","{'messages_generated': 0, 'voice_messages_sent': 0, 'priority_levels': [], 'feedback_categories': [], 'status': 'success'}",0,False
