session_id,user_id,timestamp,session_start,session_end,total_duration_seconds,total_reps,completed_reps,failed_reps,average_form_score,best_form_score,worst_form_score,total_faults,safety_faults,form_faults,depth_faults,user_skill_level,exercise_type,voice_feedback_enabled,session_quality_score,improvement_score,fatigue_detected,session_notes,system_version
session_20250830_225851_main_user,main_user,1756591131.7414558,2025-08-30T22:58:51.741455,2025-08-30T22:59:03.119707,11.378252029418944,0,0,0,0.0,0,0,0,,,,INTERMEDIATE,squat,True,0.0,0.0,False,,2.0
session_20250830_231729_main_user,main_user,1756592249.703097,2025-08-30T23:17:29.703097,2025-08-30T23:17:41.251937,11.548840284347534,1,1,0,0.0,0,0,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_003323_main_user,main_user,1756596803.8590946,2025-08-31T00:33:23.859094,2025-08-31T00:33:41.369447,17.510352611541748,1,1,0,0.0,0,0,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_203310_fola,fola,1756668790.3120356,2025-08-31T20:33:10.312035,2025-08-31T20:33:20.470551,10.158515453338623,1,1,0,0.0,0,0,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_212428_fola,fola,1756671868.244181,2025-08-31T21:24:28.244181,2025-08-31T21:24:39.353940,11.10975956916809,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_214709_fola,fola,1756673229.2920346,2025-08-31T21:47:09.292034,2025-08-31T21:47:19.378942,10.086907863616943,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_222216_fola,fola,1756675336.805517,2025-08-31T22:22:16.805517,2025-08-31T22:22:30.755656,13.950139284133911,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_232950_fola,fola,1756679390.4618945,2025-08-31T23:29:50.461894,2025-08-31T23:30:04.537337,14.075442552566528,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
session_20250831_233308_main_user,main_user,1756679588.5556,2025-08-31T23:33:08.555599,2025-08-31T23:33:09.230706,0.6751067638397217,0,0,0,0,0,0,0,,,,INTERMEDIATE,squat,True,0.0,0.0,False,,2.0
session_20250831_233502_fola,fola,1756679702.2792625,2025-08-31T23:35:02.279262,2025-08-31T23:35:16.354403,14.075140476226807,1,1,0,90.0,90,90,1,,,,INTERMEDIATE,squat,True,100.0,0.0,False,,2.0
